Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
media_leaf,media-leaf-3,Ethernet49/1,media_spine,media-spine-1,Ethernet17/1,True
media_leaf,media-leaf-3,Ethernet50/1,media_spine,media-spine-1,Ethernet18/1,True
media_leaf,media-leaf-3,Ethernet51/1,media_spine,media-spine-2,Ethernet17/1,True
media_leaf,media-leaf-3,Ethernet52/1,media_spine,media-spine-2,Ethernet18/1,True
media_leaf,media-leaf-4,Ethernet53/1,media_spine,media-spine-1,Ethernet25/1,True
media_leaf,media-leaf-4,Ethernet54/1,media_spine,media-spine-2,Ethernet25/1,True
ptp_leaf,media-PTP-1,Ethernet1,ptp_leaf,media-PTP-2,Ethernet1,True
ptp_leaf,media-PTP-1,Ethernet2,ptp_leaf,media-PTP-2,Ethernet2,True
ptp_leaf,media-PTP-1,Ethernet11,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet12,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet13,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet14,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet15,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet16,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet17,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet18,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet19,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet20,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-1,Ethernet48,network_port,Meinberg Interface(cu-cu),,True
ptp_leaf,media-PTP-1,Ethernet51,media_spine,media-spine-1,Ethernet27/1,True
ptp_leaf,media-PTP-1,Ethernet52,media_spine,media-spine-2,Ethernet27/1,True
ptp_leaf,media-PTP-1,Ethernet53,network_port,(Unused) Meinberg SFP-1G-T,,True
ptp_leaf,media-PTP-1,Ethernet54,network_port,Meinberg 1G Optical,,True
ptp_leaf,media-PTP-2,Ethernet1,ptp_leaf,media-PTP-1,Ethernet1,True
ptp_leaf,media-PTP-2,Ethernet2,ptp_leaf,media-PTP-1,Ethernet2,True
ptp_leaf,media-PTP-2,Ethernet11,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet12,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet13,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet14,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet15,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet16,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet17,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet18,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet19,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet20,network_port,mcs senders/receivers,,True
ptp_leaf,media-PTP-2,Ethernet45,network_port,Evertz 5700MSC-IP Eth2,,True
ptp_leaf,media-PTP-2,Ethernet48,network_port,Meinberg Interface(cu-cu),,True
ptp_leaf,media-PTP-2,Ethernet51,media_spine,media-spine-1,Ethernet28/1,True
ptp_leaf,media-PTP-2,Ethernet52,media_spine,media-spine-2,Ethernet28/1,True
ptp_leaf,media-PTP-2,Ethernet53,network_port,Meinberg SFP-1G-T,,True
ptp_leaf,media-PTP-2,Ethernet54,network_port,Meinberg 1G Optical,,True
media_spine,media-spine-1,Ethernet1/1,media_leaf,media-leaf-1,Ethernet49/1,True
